Type,Headline,Text,Start Date,End Date,Display Date,Group,Media URL,Media Caption,Media Credit,Media Alt,Media Link,Media Link Target,Background Color,Background Image,Unique ID,Start Time,End Time
era,Trimester 1,These are all the courses that will run from September 1 to November 23rd,2025-09-01,2025-11-23,,,https://img.notionusercontent.com/s3/prod-files-secure%252Fcbaeba0d-0cb6-41e6-8ac2-ab7e57771ecf%252F59a030d4-574b-4ef3-a143-60fe1461ff78%252F188.jpg,,,,,_blank,#f6b26b,,trimester-1,,
event,Community health systems,"This primer course will introduce the formal & informal health systems that exist in Kundapura and Bidar (as specific cases), and how people navigate across these systems to manage their health and wellbeing and is offered by Naveen, Abhiram & Vidya",2026-01-02,2026-01-29,,Community Wellbeing,,,,,,_blank,#f6b26b,,community-health-systems,,
event,Human-Digital Histories,This primer course will unpack how historicizing technologies and the political & cultural production of their imagination is crucial to orient to gain a critical stance on tech. and is offered by Naveen & Adhavan,2026-02-06,2026-03-05,,Reimagining Technology,,,,,,_blank,#f6b26b,,human-digital-histories,,
event,"Understanding women’s collective, labour and participation in local governance systems","This workshop by Sangeetha & Vidya will explore women’s role and labour in Sanjeevinis sanghas, panchayat, krishi kendra and other PRIs have been crucial in development and wellbeing of the people and place.",2026-01-16,2026-01-29,,Community Wellbeing,,,,,,_blank,#f6b26b,,"understanding-women’s-collective,-labour-and-participation-in-local-governance-systems",,
event,Calligraphy and correspondence,"This workshop by Eshwari & Supriya will be about learning the nastaliq script from local calligraphers and use the script to visualize folklore, songs, or ideas",2026-02-27,2026-03-12,,Wellbeing of Craft Practices,,,,,,_blank,#f6b26b,,calligraphy-and-correspondence,,
event,Speculative Design: Anticipating Consequences ,This elective course by Naveen & Shreyas will explore how to weave tightly the critical and the creative in early design process by drawing from Speculative & Critical design methods. ,2026-02-13,2026-03-12,,Reimagining Technology,,,,,,_blank,#f6b26b,,speculative-design:-anticipating-consequences-,,
event,"Participatory Mapping with People, Bidar and the internet: Tools and Technologies",This elective course by Adhavan & Harsha will explore how public maps and knowledge of places may often be centralised and made with intents not from the people. Learners will work with community collaborators and tools to answer the question of subverting and reimagining maps and the representation of knowledge of places. ,2026-01-09,2026-02-05,,Reimagining Technology,,,,,,_blank,#f6b26b,,"participatory-mapping-with-people,-bidar-and-the-internet:-tools-and-technologies",,
event,Place as Archive - Syncretic Cultures,"This elective course by Shreyas will will reimagine the idea of an archive as something that's alive and evolving. This track will directly contribute to Bidar Heritage Centre Archives, our long-term infrastructuring engagement ",2026-02-13,2026-03-12,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,place-as-archive---syncretic-cultures,,
event,Alternative Glossaries for water conservation,This makeathon by Adhavan & Harsha explores Climate Change studies and policies related to Climate Change are mostly top down thing. Looking from the lens communities or ground up approach brings different forms of words and approaches.,2026-03-13,2026-03-19,,Sensitive Ecologies,,,,,,_blank,#f6b26b,,alternative-glossaries-for-water-conservation,,
event,Jatre as a communal practice,"This travelling studio by Shreyas will be about Jatre. Jatre are a moment for large public gatherings that intertwines cultural practices, religious festivals and local economy. In this travelling studio series we will learn from culturally rooted practice of Jatre in Bidar region",2026-02-06,2026-02-26,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,jatre-as-a-communal-practice,,
event,"Living Crafts, Craft Livelihoods, and Wellbeing","This practicum by Archit, Supriya & Shreyas, is situated within a community of craft practitioners — bidri / lambani — the practicum explores and makes visible the interconnections between the living histories of the craft practice, livelihoods and the wellbeing of the community. ",2026-01-16,2026-03-12,,Wellbeing of Craft Practices,,,,,,_blank,#f6b26b,,"living-crafts,-craft-livelihoods,-and-wellbeing",,
era,Trimester 2,These are all the courses that will run from Jan 2nd to March 26th,2026-01-02,2026-03-26,,,https://img.notionusercontent.com/s3/prod-files-secure%2Fcbaeba0d-0cb6-41e6-8ac2-ab7e57771ecf%2F830dcbd5-b29f-40bb-bb14-234fb410cc04%2F33.jpg,,,,,_blank,#f6b26b,,trimester-2,,
event,Data Politics,"This primer course will be about understanding data practices and how it affects communities? How is data/knowledge/media/archives built and maintained in communities? Tangible media/data as ownership? Ethics, governance and ownership and is offered by Abhiram & Shreyas",2026-05-01,2026-05-28,,Reimagining Technology,,,,,,_blank,#f6b26b,,data-politics,,
event,Sketching Interactions,"This primer course will understand, through experiencing, how sketching across media aids an exploration of a range of possible outcomes of interacting meaningfully with digital technology and is offered by Naveen",2026-05-01,2026-05-28,,Reimagining Technology,,,,,,_blank,#f6b26b,,sketching-interactions,,
event,Experimenting With Interactivity,"This primer course will understand,XXXXXXXXXXXXXand is offered by Naveen",2026-06-05,2026-07-02,,Reimagining Technology,,,,,,_blank,#f6b26b,,experimenting-with-interactivity,,
event,Syncretic cultures in Dakkhani Architectural Heritage,This travelling studio by Shreyas & Vinay will be about XXXXXXXXXXXXXX,2026-06-05,2026-07-16,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,syncretic-cultures-in-dakkhani-architectural-heritage,,
event,Mapping Community Systems of Wellbeing,"This elective course by Abhiram, Vidya & Naveen will undertake a geo-spatial mapping of formal & informal systems of community health and wellbeing, annotated with stories of lived experiences that highlight the practices of negotiation & navigation",2026-05-15,2026-07-28,,Community Wellbeing,,,,,,_blank,#f6b26b,,mapping-community-systems-of-wellbeing,,
event,Rural Series: Pastoralism and land,"A travel based learning of Pastoral migration, and it’s unique knowledge and exchanges shared with the local land, migratory routes and places offered by Abhishek & Harsha",2026-06-05,2026-07-16,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,rural-series:-pastoralism-and-land,,
event,Seeking Begumpura,"This practicum by Archit & Naveen, brings together STS, Anti-Caste visions and actions, and Speculative and Service-System design together to develop a critical-creative practice of service / experience design. ",2026-05-15,2026-07-09,,Community Wellbeing,,,,,,_blank,#f6b26b,,seeking-begumpura,,
event,Whose Land and Whose Development? ,"This practicum by Abhishek & Harsha, will explore shrinking Grasslands, Commons & wildlife habitat, animal-wildlife conflicts, pastoralism getting affected in all this with green energy projects such as large-scale solar farms. Understanding the nexus the social factors and politics and policies framework behind it. Karanja- Submergence of land for water irrigation project- who benefitted and who lost.",2026-05-15,2026-07-09,,Sensitive Ecologies,,,,,,_blank,#f6b26b,,whose-land-and-whose-development?-,,
event,Micro Histories and Alternative Presents of Visual Cultures of Bidar ,"This Core Pathway by Naveen, will Map & Understand the living practices of Visual Cultures in Bidar and their production. And collaboratively exploring possible alternative presents (and futures) of the practices.",2026-05-08,2026-07-16,,Reimagining Technology,,,,,,_blank,#f6b26b,,,,
era,Trimester 3,These are all the courses that will run from Jan 2nd to March 26th,2026-05-01,2026-07-23,,,https://llncolab.notion.site/image/attachment%3A12c888f4-a42b-40ac-a52e-a4b30b1509be%3A80.jpg,,,,,_blank,#f6b26b,,trimester-3,,
